INFO 2025-09-26 18:43:59,678 autoreload 8044 8956 Watching for file changes with StatReloader
INFO 2025-09-26 18:44:50,440 autoreload 1932 9728 Watching for file changes with StatReloader
WARNING 2025-09-26 18:45:53,236 log 1932 7464 Not Found: /
WARNING 2025-09-26 18:45:53,238 basehttp 1932 7464 "GET / HTTP/1.1" 404 3456
WARNING 2025-09-26 18:45:53,518 log 1932 7464 Not Found: /favicon.ico
WARNING 2025-09-26 18:45:53,520 basehttp 1932 7464 "GET /favicon.ico HTTP/1.1" 404 3507
WARNING 2025-09-26 18:46:08,430 log 1932 12768 Not Found: /auth/send-otp
WARNING 2025-09-26 18:46:08,432 basehttp 1932 12768 "GET /auth/send-otp HTTP/1.1" 404 3513
WARNING 2025-09-26 18:46:30,323 log 1932 8312 Method Not Allowed: /api/auth/send-otp/
WARNING 2025-09-26 18:46:30,325 basehttp 1932 8312 "GET /api/auth/send-otp/ HTTP/1.1" 405 5629
INFO 2025-09-26 18:46:30,360 basehttp 1932 8312 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,373 basehttp 1932 8312 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,375 basehttp 1932 14464 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,392 basehttp 1932 8312 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,397 basehttp 1932 4464 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,398 basehttp 1932 14464 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,398 basehttp 1932 7364 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,401 basehttp 1932 8312 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,407 basehttp 1932 7180 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,410 basehttp 1932 12380 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,423 basehttp 1932 4464 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2025-09-26 18:46:30,447 basehttp 1932 12380 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
